,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,,,,Source2
Updated On,Delhi,2621,,,2621,,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/068e55804dc3527fb23cf7982ee7a5c7/HB01A.pdf?MOD=AJPERES&lmod=908572962&CACHEID=068e55804dc3527fb23cf7982ee7a5c7,,,,
01/04/2020,West Bengal,659,37,568,54,,,,,,,https://www.wbhealth.gov.in/uploaded_files/corona/Bulletin_West_Bengal_01.04_.2020_.pdf,,,,
01/04/2020,Kerala,7965,265,7256,444,622,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,https://dashboard.kerala.gov.in/quarantine-view-public.php
01/04/2020,Kerala,8456,286,7622,548,643,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,https://dashboard.kerala.gov.in/quarantine-view-public.php
02/04/2020,Andhra Pradesh,1800,132,1175,493,179,,23479,2680,330,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,,,
02/04/2020,Assam,962,16,819,127,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,,,
02/04/2020,Chandigarh,124,18,98,8,,,,,,,http://chdcovid19.in/,,,,
02/04/2020,Chhattisgarh,1232,9,921,302,,,,,,,http://www.cghealth.nic.in/cghealth17/,,,,
02/04/2020,Goa,220,5,197,18,,,,,,,https://www.goa.gov.in/wp-content/uploads/2020/04/Media-Bulletin-02.04.2020.pdf,,,,
02/04/2020,Punjab,1434,37,1236,161,,,,,,,https://twitter.com/kbssidhu1961/status/1245680244658339841/photo/1,,,,
02/04/2020,Uttarakhand,678,7,554,117,,,,,,,https://www.facebook.com/UKMedicalHealth/photos/a.1666257713623931/2556543367928690/?type=3&theater,,,,
02/04/2020,Haryana,1325,44,938,343,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/BULLETIN%20EVENING03042020.pdf,,,,
03/04/2020,Karnataka,4587,128,4281,178,219,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/03-04-2020(English).pdf,,,,
03/04/2020,Kerala,9139,295,8126,718,706,,,,,,https://dashboard.kerala.gov.in/,,,,https://dashboard.kerala.gov.in/quarantine-view-public.php
03/04/2020,Odisha,1395,20,1108,267,,,,,,,https://twitter.com/HFWOdisha/status/1246135145230303232,,,,
03/04/2020,Tamil Nadu,3684,411,2789,484,284,,13323,,3044,,https://stopcorona.tn.gov.in/wp-content/uploads/2020/03/Media-Bulletin-03-04-20-COVID-19-6-PM.pdf,,,,
03/04/2020,West Bengal,1042,,,,1125,786,,,,,,,,,
04/04/2020,Kerala,9744,306,8586,852,734,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,https://dashboard.kerala.gov.in/quarantine-view-public.php
04/02/2020,Madhya Pradesh,2812,193,1954,665,,,,,,,https://twitter.com/JansamparkMP/status/1246841187073273857,,,,
05/04/2020,Uttar Pradesh,5255,278,4796,181,,,,,,,WA circular :/,,,,
05/04/2020,Bihar,3037,32,2299,706,,,,,,,https://twitter.com/sanjayjavin/status/1246667952054665216,,,,
05/04/2020,Jammu and Kashmir,1551,106,1429,16,,,,,,,https://twitter.com/diprjk/status/1246764514135040000,,,,
05/04/2020,Kerala,10221,314,9300,607,776,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,https://dashboard.kerala.gov.in/quarantine-view-public.php
05/04/2020,Rajasthan,12279,260,11439,580,,,,,,,http://www.rajswasthya.nic.in/,,,,
05/04/2020,Arunachal Pradesh,,,,,,,,,,,,,,,
05/04/2020,Assam,,,,,,,,,,,,,,,
05/04/2020,Bihar,3037,32,2299,706,,,,,,,,,,,
05/04/2020,Uttar Pradesh,5255,278,4796,179,3927,,,,,,,,,,
05/04/2020,Uttarakhand,,,,,,,,,,,,,,,
05/04/2020,Maharashtra,16008,,14837,,3122,,,,,,,,,,
05/04/2020,Maharashtra,17563,868,15808,,3498,,,,,,https://www.cnbctv18.com/healthcare/maharashtra-covid-19-tally-mounts-to-868-with-7-fresh-deaths-5634351.htm,,,,
06/04/2020,Nagaland,60,0,47,13,,,489,,70,,http://morungexpress.com/nagaland-covid-19-update-2,,,,
06/04/2020,Kerala,10716,327,9607,782,795,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,https://dashboard.kerala.gov.in/quarantine-view-public.php
06/04/2020,Mizoram,58,1,0,0,207,,,,,,https://health.mizoram.gov.in/post/covid-19-bulletin-date-642020,,,,
06/04/2020,West Bengal,1301,,,,246,,,,,,https://www.wbhealth.gov.in/uploaded_files/corona/Bulletin_West_Bengal_06.04_.2020(1)_.pdf,,,,
06/04/2020,Madhya Pradesh,3770,290,3125,355,,,9492,1598,993,,https://twitter.com/JansamparkMP/status/1247554866043473920,,,,
07/04/2020,Odisha,2190,40,,,,,,,,,https://twitter.com/HFWOdisha/status/1247579939206909953,,,,
07/04/2020,Haryana,2520,141,1821,558,687,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020Morning.pdf,,,,
07/04/2020,Uttarakhand,1289,32,1092,165,176,,,,,,,,,,
07/04/2020,Rajasthan,17638,363,16401,874,,,,,,,,,,,
07/04/2020,West Bengal,1487,,,,262,,,,,,https://www.wbhealth.gov.in/uploaded_files/corona/Bulletin_West_Bengal_07.04_.2020_.pdf,,,,
07/04/2020,Kerala,11232,336,10250,646,752,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,https://dashboard.kerala.gov.in/quarantine-view-public.php
07/04/2020,Maharashtra,20877,1018,19290,569,38703,,,,,,https://arogya.maharashtra.gov.in/pdf/covidepressnote07.pdf,,,,
07/04/2020,Mizoram,58,1,0,0,207,,,,,,https://health.mizoram.gov.in/post/covid-19-bulletin-date-742020,,,,
07/04/2020,Odisha,2441,42,,,,,,,,,https://twitter.com/HFWOdisha/status/1247579939206909953,,,,
07/04/2020,Delhi,9041,576,7308,1157,3120,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/ed4d3d804dd60b488b60ff982ee7a5c7/HB07A.pdf?MOD=AJPERES&lmod=1435478287&CACHEID=ed4d3d804dd60b488b60ff982ee7a5c7,,,,
07/04/2020,Karnataka,6580,175,5942,,,,1540,250,130,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/07-04-2020(English).pdf,,,,
