Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
30 January ,1,1,0,0,0,0
31 January ,0,1,0,0,0,0
01 February ,0,1,0,0,0,0
02 February ,1,2,0,0,0,0
03 February ,1,3,0,0,0,0
04 February ,0,3,0,0,0,0
05 February ,0,3,0,0,0,0
06 February ,0,3,0,0,0,0
07 February ,0,3,0,0,0,0
08 February ,0,3,0,0,0,0
09 February ,0,3,0,0,0,0
10 February ,0,3,0,0,0,0
11 February ,0,3,0,0,0,0
12 February ,0,3,0,0,0,0
13 February ,0,3,1,1,0,0
14 February ,0,3,0,1,0,0
15 February ,0,3,0,1,0,0
16 February ,0,3,1,2,0,0
17 February ,0,3,0,2,0,0
18 February ,0,3,0,2,0,0
19 February ,0,3,0,2,0,0
20 February ,0,3,1,3,0,0
21 February ,0,3,0,3,0,0
22 February ,0,3,0,3,0,0
23 February ,0,3,0,3,0,0
24 February ,0,3,0,3,0,0
25 February ,0,3,0,3,0,0
26 February ,0,3,0,3,0,0
27 February ,0,3,0,3,0,0
28 February ,0,3,0,3,0,0
29 February ,0,3,0,3,0,0
01 March ,0,3,0,3,0,0
02 March ,2,5,0,3,0,0
03 March ,1,6,0,3,0,0
04 March ,22,28,0,3,0,0
05 March ,2,30,0,3,0,0
06 March ,1,31,0,3,0,0
07 March ,3,34,0,3,0,0
08 March ,5,39,0,3,0,0
09 March ,9,48,0,3,0,0
10 March ,15,63,1,4,0,0
11 March ,8,71,0,4,0,0
12 March ,10,81,0,4,1,1
13 March ,10,91,6,10,0,1
14 March ,11,102,0,10,1,2
15 March ,10,112,3,13,0,2
16 March ,14,126,1,14,0,2
17 March ,20,146,1,15,1,3
18 March ,25,171,0,15,0,3
19 March ,27,198,5,20,1,4
20 March ,58,256,3,23,0,4
21 March ,78,334,0,23,0,4
22 March ,69,403,0,23,3,7
23 March ,94,497,2,25,2,9
24 March ,74,571,15,40,1,10
25 March ,86,657,3,43,1,11
26 March ,73,730,7,50,5,16
27 March ,153,883,25,75,3,19
28 March ,136,1019,10,85,5,24
29 March ,120,1139,17,102,3,27
30 March ,187,1326,35,137,14,41
31 March ,309,1635,13,150,6,47
01 April ,424,2059,19,169,6,53
02 April ,486,2545,22,191,16,69
03 April ,560,3105,39,230,14,83
04 April ,579,3684,56,286,13,96
05 April ,609,4293,43,329,22,118
06 April ,484,4777,65,394,16,134
07 April ,572,5349,75,469,27,161
08 April ,565,5914,96,565,20,181
09 April ,813,6727,70,635,46,227
10 April ,871,7598,151,786,22,249
11 April ,854,8452,186,972,40,289
12 April ,758,9210,114,1086,42,331
13 April ,1243,10453,112,1198,27,358
14 April ,1031,11484,167,1365,37,395
15 April ,886,12370,144,1509,27,422
16 April ,1061,13431,258,1767,26,448
17 April ,922,14353,273,2040,38,486
18 April ,1371,15724,426,2466,35,521
19 April ,1580,17304,388,2854,38,559
20 April ,1239,18543,419,3273,33,592
21 April ,1537,20080,703,3976,53,645
22 April ,1292,21372,394,4370,36,681
23 April ,1667,23039,642,5012,40,721
24 April ,1408,24447,445,5457,59,780
