State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,24447,5457,780,18210,24/04/2020 23:22:37,TT,1408,445,59,
Maharashtra,6817,957,301,5559,24/04/2020 20:52:39,MH,390,117,18,
Delhi,2514,857,53,1604,24/04/2020 21:32:38,DL,138,49,3,
Gujarat,2815,265,127,2423,24/04/2020 20:21:01,GJ,191,7,15,
Rajasthan,2034,493,32,1509,24/04/2020 21:42:37,RJ,70,42,4,
Tamil Nadu,1755,866,22,867,24/04/2020 18:17:38,TN,72,114,2,
Madhya Pradesh,1846,210,92,1544,24/04/2020 17:17:37,MP,159,7,9,
Uttar Pradesh,1621,226,25,1370,24/04/2020 19:47:38,UP,111,20,1,
Telangana,983,252,25,706,24/04/2020 23:22:38,TG,13,0,0,
Andhra Pradesh,955,145,29,781,23/04/2020 14:47:37,AP,62,4,2,
Karnataka,474,152,18,304,24/04/2020 17:57:37,KA,29,7,1,
Kerala,450,331,3,116,24/04/2020 17:12:38,KL,3,15,1,
Jammu and Kashmir,454,109,5,340,24/04/2020 19:37:38,JK,20,17,0,
West Bengal,514,103,18,393,24/04/2020 17:32:38,WB,58,24,3,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Haryana,275,186,3,86,24/04/2020 14:52:40,HR,5,16,0,One death in Ambala included.
Punjab,298,70,17,211,24/04/2020 18:07:38,PB,15,4,0,
Bihar,223,44,2,177,24/04/2020 21:52:38,BR,53,0,0,
Odisha,94,33,1,60,24/04/2020 16:47:38,OR,5,0,0,
Uttarakhand,48,25,0,23,22/04/2020 20:07:38,UT,1,1,0,
Jharkhand,59,8,3,48,24/04/2020 21:52:39,JH,6,0,0,
Himachal Pradesh,40,18,2,20,23/04/2020 21:52:49,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,30,0,6,23/04/2020 10:37:39,CT,0,0,0,
Assam,36,19,1,16,20/04/2020 08:45:06,AS,0,0,0,Includes one case from Nagaland
Chandigarh,27,15,0,12,24/04/2020 18:52:39,CH,0,1,0,
Ladakh,18,16,0,2,23/04/2020 10:32:40,LA,0,0,0,
Andaman and Nicobar Islands,29,11,0,18,24/04/2020 21:42:40,AN,7,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
