Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand
17/04/2020,Andaman and Nicobar Islands,1403,12,1210,181,,,50,,,,https://t.me/indiacovid/2550,,0.86%,
18/04/2020,Andaman and Nicobar Islands,,,,,,,,,,,,,,
19/04/2020,Andaman and Nicobar Islands,,,,,,,,,,,,,,
20/04/2020,Andaman and Nicobar Islands,2020,16,1807,197,,,50,,,,https://twitter.com/BollyNumbers/status/1252639188316327936?s=09,,0.79%,
21/04/2020,Andaman and Nicobar Islands,,,,,,,,,,,,,,
22/04/2020,Andaman and Nicobar Islands,2304,18,2171,115,,,50,,,,https://twitter.com/BollyNumbers/status/1253252582035927041?s=20,,,
23/04/2020,Andaman and Nicobar Islands,2537,22,2355,160,,,,,,,https://twitter.com/BollyNumbers/status/1253687405564944391/photo/1,,,
24/04/2020,Andaman and Nicobar Islands,,,,,,,,,,,,,,
25/04/2020,Andaman and Nicobar Islands,,,,,,,,,,,,,,
02/04/2020,Andhra Pradesh,1800,132,1175,493,179,,23479,2680,330,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,7.33%,
10/04/2020,Andhra Pradesh,6374,365,6009,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.73%,
11/04/2020,Andhra Pradesh,6958,381,6577,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.48%,
12/04/2020,Andhra Pradesh,6958,405,6553,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.82%,
13/04/2020,Andhra Pradesh,8755,432,8323,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.93%,
14/04/2020,Andhra Pradesh,10505,473,10032,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.50%,
15/04/2020,Andhra Pradesh,11613,525,11088,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.52%,
16/04/2020,Andhra Pradesh,20235,534,19701,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.64%,
17/04/2020,Andhra Pradesh,20235,572,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,https://t.me/indiacovid/2474,2.83%,
18/04/2020,Andhra Pradesh,21450,603,20487,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.81%,
19/04/2020,Andhra Pradesh,26958,647,26311,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.40%,
20/04/2020,Andhra Pradesh,30733,722,30011,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.35%,
21/04/2020,Andhra Pradesh,35755,757,34998,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.12%,
22/04/2020,Andhra Pradesh,41512,813,40699,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.96%,
23/04/2020,Andhra Pradesh,48032,893,47139,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.86%,
24/04/2020,Andhra Pradesh,54338,955,53383,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,
25/04/2020,Andhra Pradesh,,,,,,,,,,,,,,
09/04/2020,Arunachal Pradesh,206,1,185,20,,,,,,,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,,0.49%,
14/04/2020,Arunachal Pradesh,280,1,250,29,,,,,,,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,,0.36%,
17/04/2020,Arunachal Pradesh,363,1,338,25,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,,0.28%,
18/04/2020,Arunachal Pradesh,389,1,358,31,,,,,,,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,,0.26%,
19/04/2020,Arunachal Pradesh,,,,,,,,,,,,,,
20/04/2020,Arunachal Pradesh,439,1,405,34,,,,,,,https://twitter.com/ANI/status/1252454869983608832?s=09,,0.23%,
