Update Time Stamp,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source,,Test positivity rate,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case
13/03/2020 00:00:00,6500,5900,78,,,,Press_Release_ICMR_13March2020.pdf,,1.32%,75.64102564,83.33333333
18/03/2020 18:00:00,13125,12235,150,,,,ICMR_website_update_18March_6PM_IST.pdf,,1.23%,81.56666667,87.5
19/03/2020 10:00:00,13316,12426,168,,,,ICMR_website_update_19March_10AM_IST_V2.pdf,,1.35%,73.96428571,79.26190476
19/03/2020 18:00:00,14175,13285,182,,,,ICMR_website_update_19March_6PM_IST.pdf,,1.37%,72.99450549,77.88461538
20/03/2020 10:00:00,14376,13486,206,,,,ICMR_website_update_20March_10AM_IST.pdf,,1.53%,65.46601942,69.78640777
20/03/2020 18:00:00,15404,14514,236,,,,ICMR_website_update_20March_6PM_IST.pdf,,1.63%,61.5,65.27118644
21/03/2020 10:00:00,15701,14811,271,,,,ICMR_website_update_21March_10AM_IST.pdf,,1.83%,54.65313653,57.93726937
21/03/2020 18:00:00,16911,16021,315,,,,ICMR_website_update_21March_6PM_IST.pdf,,1.97%,50.86031746,53.68571429
22/03/2020 10:00:00,16999,16109,341,,,,ICMR_website_update_22March_10AM_IST.pdf,,2.12%,47.24046921,49.85043988
22/03/2020 18:00:00,18127,17237,396,,,,ICMR_website_update_22March_6PM_IST.pdf,,2.30%,43.52777778,45.77525253
23/03/2020 10:00:00,18383,17493,415,,,,ICMR_website_update_23March_10AM_IST.pdf,,2.37%,42.15180723,44.29638554
23/03/2020 20:00:00,20707,19817,471,,,,ICMR_website_update_23March_8PM_IST.pdf,,2.38%,42.07430998,43.96390658
24/03/2020 10:00:00,20864,19974,482,,,,ICMR_website_update_24March_10AM_IST.pdf,,2.41%,41.43983402,43.28630705
24/03/2020 20:00:00,22694,21804,536,,,,ICMR_website_update_24March_8PM_IST.pdf,,2.46%,40.67910448,42.33955224
25/03/2020 10:00:00,22928,22038,539,,,,ICMR_website_update_25March_10AM_IST.pdf,,2.45%,40.88682746,42.5380334
25/03/2020 20:00:00,25144,24254,581,,,,ICMR_website_update_25March_8PM_IST.pdf,,2.40%,41.74526678,43.27710843
26/03/2020 10:00:00,,,,,,,,,,,
26/03/2020 18:00:00,,,,,,,,,,,
27/03/2020 09:00:00,27688,26798,691,,,,ICMR_website_update_27March_9AM_IST.pdf,,2.58%,38.78147612,40.06946454
30/03/2020 00:00:00,38442,,,1334,,,MoH Press conference with Dr. Raman G,,,,
