,,Andaman and Nicobar Islands,,Andhra Pradesh,,Arunachal Pradesh,,Assam,,Bihar,,Chandigarh,,Chhattisgarh,,Dadra & Nagar Haveli,,Delhi,,Goa,,Gujarat,,Haryana,,Himachal Pradesh,,Jammu and Kashmir,,Jharkhand,,Karnataka,,Kerala,,Ladakh,,Lakshwadeep,,Madhya Pradesh,,Maharashtra,,Manipur,,Meghalaya,,Mizoram,,Nagaland,,Odisha,,Puducherry,,Punjab,,Rajasthan,,Sikkim,,Tamil Nadu,,Telanagana,,Tripura,,Uttar Pradesh,,Uttarakhand,,West Bengal,,Mobile Vans,,Duplicates,,Total,,Changes,
,,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private
04/05/2020,RT-PCR,1,0,10,0,1,0,7,0,6,0,3,0,4,0,1,0,11,13,1,0,13,8,8,7,5,0,4,0,4,1,16,7,14,5,0,0,0,0,10,3,31,20,2,0,1,0,1,0,0,0,7,1,2,0,3,1,17,3,0,0,36,13,9,11,1,0,20,3,4,1,10,4,0,0,,,263,101,-,-
,TrueNat,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,44,0,-,-
,CBNAAT,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,,,13,13,-,-
11/05/2020,RT-PCR,1,0,10,0,1,0,7,0,6,0,3,0,4,0,1,0,12,14,1,0,16,11,8,7,5,0,5,0,4,1,17,11,14,5,0,0,0,0,12,4,33,22,2,0,3,0,1,0,0,0,7,1,2,0,3,2,17,3,0,0,38,15,8,11,1,0,22,4,4,1,11,7,0,0,-1,,278,119,15,18
,TrueNat,1,0,41,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,55,2,11,2
,CBNAAT,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,4,3,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,3,0,0,-2,,15,15,2,2
18/05/2020,RT-PCR,1,0,10,0,1,0,7,1,6,0,3,0,4,0,1,0,12,15,1,0,17,11,9,7,5,0,6,0,4,1,18,14,14,5,0,0,0,0,12,5,34,25,2,0,3,0,1,0,1,0,10,2,2,0,3,2,18,3,0,0,40,20,8,11,1,0,22,4,4,1,11,7,0,0,,,291,134,13,15
,TrueNat,1,0,42,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,,,70,4,15,2
,CBNAAT,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,3,0,0,0,1,0,0,0,6,4,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,4,0,0,1,,24,20,9,5
