State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,16555849,13829225,188984,2530766,23/4/2021 22:13:20,6874,TT,298342,187488,2055,
Maharashtra,4161676,3404792,63252,691851,23/04/2021 21:15:15,1781,MH,66836,74045,773,"[Dec 16]:10,218 duplicate cases & other state cases removed from total cases.791 recovered cases also removed from total recovered cases while reconciling 
[Sep 9] :239 cases have been removed from the hospitalized figures owing to the removal of duplicates and change of addresses as per the original residence
[Aug 15] : MH bulletin has reduced 819 confirmed cases in Mumbai and 72 confirmed cases from 'Other States' from the tally
[Jun 16] : 1328 deceased cases have been retroactively added to MH bulletin.
[Jun 20] : 69 deceased cases have been reduced based on state bulletin."
Kerala,1350502,1166135,5056,178979,23/04/2021 19:32:13,332,KL,28447,5663,27,"Mahe native who expired in Kannur included in Kerala's deceased tally.
Some non-covid deaths have also been reported in the bulletin.
These have been reduced from active count"
Karnataka,1274959,1046554,14075,214311,23/04/2021 20:15:17,19,KA,26962,8697,190,
Andhra Pradesh,1009228,927418,7579,74231,23/04/2021 19:05:19,0,AP,11766,4441,38,
Tamil Nadu,1051487,943044,13395,95048,23/04/2021 19:32:14,0,TN,13776,8078,78,"[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.
2 deaths cross notified to other states from Chennai and Coimbatore.
1 patient died after turning negative for infection in Chengalpattu.
These cases have been added to TN deceased tally"
Delhi,956348,851537,13193,91618,22/04/2021 23:20:11,0,DL,0,0,0,"[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change."
Uttar Pradesh,1013370,728980,10737,273653,23/04/2021 19:05:23,0,UP,36605,22566,196,"[Jan 1]:As no bulletin was provided for 31'st Dec'20,its count has been combined with 1st Jan'21
[Jan 9]:Due to reconcillation there are 1286 cases."
West Bengal,713780,628218,10825,74737,23/04/2021 20:32:19,0,WB,12876,6878,59,
Odisha,394694,356003,2026,36665,23/04/2021 20:32:21,0,OR,6215,2452,8,[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count
Rajasthan,483273,362526,3453,117294,23/04/2021 19:05:26,0,RJ,15398,5197,64,
Chhattisgarh,622965,492593,6893,123479,23/04/2021 22:13:25,0,CT,17397,15254,219,
Telangana,379494,324840,1928,52726,23/04/2021 13:19:15,0,TG,6026,3052,29,"[July 27] : Telangana bulletin for the previous day is released on the next day. We will add the cases for Telangana against the date of release, as that is the convention that we are following for other states."
Haryana,402843,335143,3643,64057,23/04/2021 22:13:27,0,HR,11854,6334,60,
Gujarat,453836,355875,5877,92084,22/04/2021 20:33:20,0,GJ,0,0,0,
Bihar,378442,300012,2010,76419,23/04/2021 20:15:32,1,BR,12672,6067,54,
Madhya Pradesh,472785,380208,4937,87640,23/04/2021 20:15:35,0,MP,13590,10833,74,[Oct 14]: 4469 confirmed cases and 4469 recoveries added in MP bulletin as reconciliation with private labs and hospitals
Assam,231069,217991,1160,10571,22/04/2021 23:20:13,1347,AS,0,0,0,[Jan 1]: 1347 cases i.e Covid +'tive patients dead for other reasons have been deducted fom active count.
Punjab,326447,274240,8264,43943,23/04/2021 21:41:20,0,PB,6728,3294,75,
Jammu and Kashmir,156344,137240,2111,16993,23/04/2021 19:42:29,0,JK,1937,1019,19,
Jharkhand,184951,142294,1715,40942,23/04/2021 00:10:14,0,JH,0,0,0,
Uttarakhand,142349,107450,2021,29949,23/04/2021 21:41:23,2929,UT,4339,1179,49,"[Oct 30]: Metric of capturing the testing data has switched to ""Samples Tested"" from ""Samples Collected"""
Himachal Pradesh,84065,70519,1267,12246,23/04/2021 21:15:21,33,HP,1189,772,26,
Goa,73644,61628,976,11040,23/04/2021 21:15:23,0,GA,1420,596,12,
Puducherry,51372,44314,728,6330,23/04/2021 12:48:23,0,PY,792,383,2,
Tripura,34299,33288,391,597,23/04/2021 12:48:25,23,TR,40,46,0,"[Aug 4]: Tripura bulletin for the previous day is released on the next day. We will add the cases for Tripura against the date of release, as that is the convention that we are following for other states."
Manipur,30047,29153,381,513,22/04/2021 21:41:19,0,MN,0,0,0,[Dec 14]:824 out of 980 recovered cases are backdated.
Chandigarh,37232,32180,430,4622,23/04/2021 20:32:29,0,CH,828,476,3,
Arunachal Pradesh,17296,16860,56,380,23/04/2021 00:10:16,0,AR,0,0,0,[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.
Meghalaya,15631,14236,157,1238,23/04/2021 20:32:31,0,ML,143,38,0,
Nagaland,12889,12117,94,456,23/04/2021 21:15:25,222,NL,89,1,0,
Ladakh,12937,10761,135,2041,23/04/2021 09:49:14,0,LA,0,0,0,
Sikkim,6970,6041,137,641,23/04/2021 00:10:18,151,SK,0,0,0,
Andaman and Nicobar Islands,5527,5309,65,153,23/04/2021 00:10:19,0,AN,0,0,0,
Mizoram,5220,4605,12,603,23/04/2021 21:15:27,0,MZ,62,5,0,
Dadra and Nagar Haveli and Daman and Diu,6073,4242,4,1796,23/04/2021 21:41:25,31,DN,221,105,0,
Lakshadweep,1805,879,1,920,23/04/2021 20:32:37,5,LD,134,17,0,
State Unassigned,0,0,0,0,19/07/2020 09:40:01,0,UN,0,0,0,MoHFW website reports that these are the 'cases that are being reassigned to states'. 
