Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Total People Quarantined,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumulative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation) ,Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumulative Number of Symptomatic Cases,Cumulative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2,Source3,Source 4
17/04/2020,Andaman and Nicobar Islands,,,,1403,Samples Sent,12,1210,181,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,https://t.me/indiacovid/2550,,,
24/04/2020,Andaman and Nicobar Islands,,,,2679,Samples Sent,27,,246,,614,Institutional,347,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,https://t.me/indiacovid/3147?single,,,
27/04/2020,Andaman and Nicobar Islands,,,,2848,Samples Sent,33,,106,,724,Institutional,420,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,https://t.me/indiacovid/3365?single,,,
01/05/2020,Andaman and Nicobar Islands,,,,3754,Samples Sent,33,,199,,643,Institutional,556,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,https://t.me/indiacovid/3781,,,
16/05/2020,Andaman and Nicobar Islands,,,,6677,Samples Sent,33,,136,,16,Institutional,1196,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://t.me/indiacovid/4925,,,
19/05/2020,Andaman and Nicobar Islands,,,,6965,Samples Sent,33,,117,,2,Institutional,1213,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/261.pdf,,,
20/05/2020,Andaman and Nicobar Islands,,,,7082,Samples Sent,33,,117,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/262.pdf,,,
21/05/2020,Andaman and Nicobar Islands,,,,7167,Samples Sent,33,,85,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/263.pdf,,,
22/05/2020,Andaman and Nicobar Islands,,,,7263,Samples Sent,33,,96,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/264.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,,
23/05/2020,Andaman and Nicobar Islands,,,,7327,Samples Sent,33,,61,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/266.pdf,,,
24/05/2020,Andaman and Nicobar Islands,,,,7327,Samples Sent,33,,0,,0,Institutional,1215,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/267.pdf,,,
25/05/2020,Andaman and Nicobar Islands,,,,7363,Samples Sent,33,,34,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/269.pdf,,,
26/05/2020,Andaman and Nicobar Islands,,,,7448,Samples Sent,33,,84,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/270.pdf,,,
