Update Time Stamp,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source
13/03/2020 00:00:00,6500,5900,78,,,,Press_Release_ICMR_13March2020.pdf
18/03/2020 18:00:00,13125,12235,150,,,,ICMR_website_update_18March_6PM_IST.pdf
19/03/2020 10:00:00,13316,12426,168,,,,ICMR_website_update_19March_10AM_IST_V2.pdf
19/03/2020 18:00:00,14175,13285,182,,,,ICMR_website_update_19March_6PM_IST.pdf
20/03/2020 10:00:00,14376,13486,206,,,,ICMR_website_update_20March_10AM_IST.pdf
20/03/2020 18:00:00,15404,14514,236,,,,ICMR_website_update_20March_6PM_IST.pdf
21/03/2020 10:00:00,15701,14811,271,,,,ICMR_website_update_21March_10AM_IST.pdf
21/03/2020 18:00:00,16911,16021,315,,,,ICMR_website_update_21March_6PM_IST.pdf
22/03/2020 10:00:00,16999,16109,341,,,,ICMR_website_update_22March_10AM_IST.pdf
22/03/2020 18:00:00,18127,17237,396,,,,ICMR_website_update_22March_6PM_IST.pdf
23/03/2020 10:00:00,18383,17493,415,,,,ICMR_website_update_23March_10AM_IST.pdf
23/03/2020 20:00:00,20707,19817,471,,,,ICMR_website_update_23March_8PM_IST.pdf
24/03/2020 10:00:00,20864,19974,482,,,,ICMR_website_update_24March_10AM_IST.pdf
24/03/2020 20:00:00,22694,21804,536,,,,ICMR_website_update_24March_8PM_IST.pdf
25/03/2020 10:00:00,22928,22038,539,,,,ICMR_website_update_25March_10AM_IST.pdf
25/03/2020 20:00:00,25144,24254,581,,,,ICMR_website_update_25March_8PM_IST.pdf
26/03/2020 10:00:00,,,,,,,
26/03/2020 18:00:00,,,,,,,
27/03/2020 09:00:00,27688,26798,691,,,,ICMR_website_update_27March_9AM_IST.pdf
30/03/2020 00:00:00,38442,,,1334,,,MoH Press conference with Dr. Raman G
31/03/2020 00:00:00,42788,,,1733,,,MoH Press conference with Dr. Raman G
01/04/2020 00:00:00,47951,,1637,4562,,,https://twitter.com/PTI_News/status/1245308976440340482
02/04/2020 21:00:00,55851,,2056,,,,ICMR_testing_update_02April_9PM_IST.pdf
03/04/2020 09:00:00,56680,,2183,,,,ICMR_testing_update_03April_9AM_IST.pdf
03/04/2020 21:00:00,69245,,2653,,10034,575,ICMR_testing_update_03April_9PM_IST.pdf
04/04/2020 21:00:00,79950,,3113,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf
05/04/2020 21:00:00,89534,,3554,,9369,295,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf
06/04/2020 21:00:00,101068,,4135,,11432,311,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf
07/04/2020 21:00:00,114015,,4616,,12584,285,ICMR_testing_update_07April_9PM_IST.pdf
08/04/2020 21:00:00,127919,,5114,,13143,320,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf
09/04/2020 21:00:00,144910,130792,5705,,16002,320,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf
10/04/2020 21:00:00,161330,147034,6872,,15663,433,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf
11/04/2020 21:00:00,179374,164773,7703,,17143,600,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf
12/04/2020 21:00:00,195748,181028,8312,,"15,583",544,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf
13/04/2020 21:00:00,217554,202551,9341,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf
14/04/2020 21:00:00,244893,229426,10307,,26351,853,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf
15/04/2020 21:00:00,274599,258730,11297,,28941,953,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf
16/04/2020 21:00:00,302956,286714,"12,581",,27256,1206,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf
17/04/2020 21:00:00,335123,318449,14098,,31083,1443,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf
