State,16/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021
Andaman and Nicobar Islands,225,442,644,644,1032,1466,1998,2019,2369,2369,2385,2656,2727,2727,2727,2727,2727,2772,2938,3161,3161,3397,3397,3413,3413,3454,3454,3646,3646,4029,4029,4227,4842,5348,6152,6152,7312,7583,7762,8419,8556,8556,8556,9137,9501,9501,9501,11119,11842,12052,12888,13470,13797,14288,14874,15203,15203,15846,16194,16194,17071,17506,18132,18132,18990,19752,20002,20672,20991,21361,21361,21361,22088,22088,22874,22867,23432,24076,25217,26850,28269,30799,33217,35447,37671,42285,48901,55598,60898,67734,74108,78236,83085,86926,89072,91977,94166,96109,97392,99109,100588,101770,102998,104374,105163,105286,106203,106880,107756,108829,109868,110657,110740,111634,112230,112809,113446,113455,113994,114006,114440,114721,115236,117175,117943,118754,119139,119590,120277,121086,121700,122463,123480,123722,124265,125001,125504,126195,126704,127183,127191,127726,128151,128483,129383,130148,131034,131036,131992,132923,133906
Andhra Pradesh,18412,46680,58495,91778,115365,133298,147030,147030,156120,156129,163727,171683,179038,187252,187252,187252,187252,215171,243243,272190,299649,299649,314316,325538,335268,343813,351993,362341,362341,376444,390665,411783,438766,469815,493471,503323,529820,556810,592903,634449,668944,668944,668944,683633,699364,722601,748938,785878,834025,834025,882244,930160,973239,981721,1031926,1077813,1077813,1159816,1235282,1316192,1406055,1503787,1611084,1611084,1741878,1850350,1972034,2113981,2219053,2341955,2350279,2408323,2504479,2605169,2735502,2907602,3007468,3053542,3179087,3266611,3389990,3497015,3571233,3806708,3893003,3913719,3918529,4563073,4597577,4603804,4607975,4613024,4756984,4927736,4968504,5330080,5555014,5670368,5678628,5986822,6177974,6282487,6354053,6579817,6700248,6696306,6729038,6742700,6916457,7070242,7167599,7294471,7308217,7310220,7340481,7373521,7413446,7428976,7502525,7513031,7569446,7629580,7660595,7857020,7888256,7905740,7915178,8023541,8156085,8459763,9040640,9488593,9751848,9766778,9863347,10073383,10225904,10337846,10696049,10788005,10852057,10992317,11037411,11224580,11480538,11676594,11850826,11929606,12304416,12388392,12420070
Arunachal Pradesh,829,2805,2805,3023,4682,5956,6511,6511,7307,7307,7307,8656,9265,9651,9651,9791,9791,9846,10889,11834,12346,12346,13479,13480,13480,14322,15098,16094,16094,18187,18187,18187,21300,23559,23743,23743,26650,27916,27930,30524,32120,32120,32120,34881,37031,37162,40830,43918,45667,45667,48474,50384,50384,53386,55709,57056,57056,60320,62168,62168,65786,68198,69919,69919,73426,75474,75593,78893,81533,83450,83450,83808,85889,85889,93159,100226,104436,106266,107592,112266,114031,120397,126477,131304,135099,144244,151893,158211,161283,166715,170942,172669,180287,186071,190500,197578,204542,209180,210345,216946,222159,227858,234727,241483,245633,246582,252285,256520,261355,266969,272190,276476,277725,283537,287203,289133,291703,293227,294841,295256,300773,306421,311599,318092,321285,323149,323976,327007,328545,329357,330302,331475,332657,332991,333918,336544,343230,351336,362881,372699,376678,384590,389896,395696,400506,405424,410427,414576,420878,426146,439044
Assam,3528,5542,7418,7585,10676,13881,13881,13881,19837,19837,19945,28918,36932,38106,38106,39724,42435,43607,60556,77225,87269,88585,99889,108887,110977,117607,125038,129781,129873,132475,135419,137224,146748,157532,164309,165804,179102,190374,195420,211037,223581,223581,223581,230799,251303,270406,316106,357619,394401,405394,441699,469387,488139,508981,528177,538913,539254,562526,580695,590838,609827,627818,645191,647269,678659,810619,837127,926350,986804,1004038,1004248,1006703,1039302,1048974,1083743,1167124,1206058,1220939,1276382,1320944,1344908,1405680,1454577,1486294,1498729,1531037,1550113,1553903,1555461,1564490,1586438,1597535,1677769,1771560,1825312,1900839,1961751,2006178,2020742,2105788,2193900,2244119,2351160,2484613,2573549,2590276,2673320,2746508,2779689,2827561,2909540,2990895,3014274,3103919,3178021,3213306,3258291,3283170,3339022,3378305,3448259,3507586,3544861,3620118,3665033,3714758,3753286,3830062,3898903,3934911,3981565,4027312,4073698,4093697,4137301,4174248,4199011,4235135,4273647,4314250,4338299,4387924,4449008,4490118,4582985,4671194,4754657,4806482,4888213,4946819,4992743
Bihar,18169,33389,42085,47433,63541,63620,76125,76125,88450,88450,89074,107174,110396,146015,148293,184215,222153,264097,312339,354360,374538,380229,397555,415989,430307,448903,471683,491233,492152,509026,510485,518095,540107,550433,561343,561857,582950,592457,600795,624386,639370,639370,639370,643349,660596,692382,742349,788907,842232,842232,1044369,1120131,1179290,1179290,1314865,1400949,1400949,1491177,1564107,1634065,1725381,1805604,1917945,1917945,2013059,2137083,2245036,2381773,2519873,2634237,2634237,2634237,2711697,2834138,3045053,3121393,3232560,3374210,3581314,3885397,4026169,4167453,4233789,4494404,4748226,4954731,5050288,5227880,5356134,5428037,5579469,5687553,5838127,5965675,6057811,6171493,6271746,6362286,6437482,6558814,6662906,6762510,6870911,6968234,7048944,7111275,7217903,7328118,7430164,7538326,7617232,7687374,7803237,7990481,8155618,8266897,8412634,8549713,8698695,8824306,8936921,9013570,9068070,9363116,9458666,9516740,9679108,9865884,9986557,10063930,10116193,10151005,10203344,10244836,10305969,10363135,10419429,10583676,10768582,10916300,11022005,11124175,11218366,11403526,11592170,11769400,11926619,12018966,12125672,12195216,12710936
Chandigarh,265,265,469,469,753,1157,1502,1502,1928,1928,2355,2764,2977,3447,3447,3803,4019,4399,4782,5234,5645,5645,6027,6458,6903,7374,8017,8803,8803,9356,10008,10860,11804,12647,13748,13748,15287,17003,18562,20462,22602,22602,22602,24323,24265,26991,29841,32619,35350,35350,38806,41600,44467,45417,48034,50592,50714,53601,56017,58079,60150,62242,64172,64324,66213,67704,69333,71036,72714,74230,74323,74323,75953,77581,81080,84815,88663,91346,94887,98293,101739,105815,110149,115008,118155,122941,126849,130380,134563,139146,143254,145600,149987,154584,158565,163872,169438,174721,178655,184251,190041,196055,201905,208489,213274,215893,220155,224778,229618,235770,241338,247629,251462,256680,261415,264937,269028,273544,279111,280216,284729,288506,292306,302008,306310,312164,315357,320422,323363,324813,329737,334444,339416,343279,349323,355123,360600,366525,371992,377655,379718,383084,384621,387064,389334,395266,401095,405014,411867,418753,424977
Chhattisgarh,5592,10872,10872,16255,22171,22259,28732,28732,40025,40025,51647,62115,62529,72704,72704,76705,79676,101564,131173,150487,168881,168881,184733,198567,216784,233126,247745,262107,262987,287224,302990,318380,336131,346550,361225,361950,378902,389026,405883,421991,429625,429625,429625,443837,460063,490690,535205,580137,632750,634650,683738,724260,774763,779548,828187,885989,892668,973242,1035067,1114501,1193874,1264446,1340490,1341500,1407109,1445038,1488934,1548906,1615013,1729837,1763175,1763175,1818746,1942105,2177113,2517456,2694062,3010589,3120741,3299718,3427849,3708378,3936404,4128448,4304100,4462959,4560518,4634774,4680586,4750060,4870577,4957157,5043710,5102952,5146710,5213264,5273022,5324444,5362447,5406347,5438705,5469712,5507583,5571099,5622933,5647085,5679195,5705613,5732278,5766859,5791448,5814814,5827151,5868522,5910035,5941724,5982055,6022232,6057680,6062047,6068630,6074384,6080528,6812740,6844454,6872062,6889272,6909823,6925357,6940576,6954350,6969745,6980677,6988120,6998059,7010511,7018915,7027097,7037125,7046134,7080472,7116057,7143473,7164925,7179201,7189135,7205436,7212530,7252931,7288841,7341970
Dadra and Nagar Haveli and Daman and Diu,123,123,208,219,278,356,628,628,665,665,665,779,940,1083,1083,1273,1336,1487,1636,1888,2212,2212,2295,2540,3356,3728,3985,4114,4114,4394,4647,5811,6341,6795,7131,7131,7292,7351,7425,7994,8442,8442,8442,8255,8953,10005,10967,12095,13226,13226,13998,14652,15556,15556,16688,17166,17166,18128,19032,19883,20488,21579,22324,22324,22992,23710,24338,24847,25797,26288,26288,26288,27231,28066,31607,37754,41350,44368,49122,53776,56843,60292,64160,67908,70523,74111,76065,77860,79439,81476,83143,83679,84945,86395,87079,88091,89186,90101,90450,91408,92300,93189,94148,95496,96404,96619,97424,98230,99132,100282,101792,102834,103259,104328,105254,105904,108831,112375,116319,119437,122205,122645,125579,133590,139994,146239,150892,156814,162789,168678,174459,180645,186595,189764,196029,201947,207609,211747,215740,222970,223452,229181,235188,240124,245041,254689,266564,266881,272131,278873,284752
Delhi,4319,7968,12441,12902,18844,18844,25811,25811,33219,33219,39764,48008,48008,56818,56818,64711,74068,81433,90927,100079,109589,109589,119329,132046,146789,162596,177439,191207,191207,206172,221225,236562,260979,285300,311410,311410,338629,359095,377694,396639,409959,409959,409959,425480,446757,471811,499770,526827,560074,560074,595812,630051,660991,690432,721007,760860,760860,800602,839039,867433,907997,937496,984265,984655,1030717,1069727,1094429,1134632,1156546,1196875,1196875,1197227,1237955,1265652,1336753,1429913,1498767,1583047,1672538,1755989,1799406,1897553,1956793,2062711,2145740,2235927,2304986,2377014,2454965,2504094,2572717,2621295,2682165,2732522,2787132,2855750,2892000,2962253,3003495,3061554,3114865,3147918,3224939,3272128,3328646,3324922,3414208,3504708,3572311,3687783,3768047,3897189,3898971,4039723,4169137,4243858,4367398,4372741,4490792,4581779,4695016,4800724,4869653,4970999,5021432,5085703,5091912,5146838,5191023,5225240,5264235,5288099,5342386,5352143,5409406,5460280,5498429,5552315,5593076,5651307,5667198,5733489,5782004,5830588,5911818,5990768,6074187,6088651,6150939,6204212,6258937
Goa,426,426,426,426,426,946,1561,1561,1796,1796,2311,2882,3391,4117,4117,4509,5422,6326,7193,7939,8257,8257,8352,8929,9961,11391,12949,13683,13683,13683,13501,14046,14218,15020,16183,16183,16811,17084,18300,19793,20794,20794,20794,22943,26408,30501,35482,39766,43051,43058,46801,50409,54615,56843,62173,66143,66143,71794,77336,80576,83096,86384,89508,89508,92961,95834,99012,101947,105072,107720,107720,108602,112654,115750,120405,130175,133818,136166,141025,145788,150177,155376,162064,171132,178390,188088,192556,203223,213142,224984,237156,244577,253784,264363,272843,281429,289687,299238,304009,313027,323227,331731,340743,349718,355730,358279,363309,368247,373028,379322,385701,391445,393444,398600,404196,409697,416818,423744,434399,436820,442804,449802,457448,466488,475326,483867,485547,491291,497126,503061,508884,514979,521465,524344,528934,533473,537740,543701,551897,563619,570276,581461,591934,600694,608379,614164,621327,638579,658255,676575,691694
