N,District,State
1,Nicobars,Andaman and Nicobar Islands
2,North and Middle Andaman,Andaman and Nicobar Islands
3,South Andaman,Andaman and Nicobar Islands
4,Anantapur,Andhra Pradesh
5,Chittoor,Andhra Pradesh
6,East Godavari,Andhra Pradesh
7,Guntur,Andhra Pradesh
8,Krishna,Andhra Pradesh
9,Kurnool,Andhra Pradesh
10,Prakasam,Andhra Pradesh
11,S.P.S. Nellore,Andhra Pradesh
12,Srikakulam,Andhra Pradesh
13,Visakhapatnam,Andhra Pradesh
14,Vizianagaram,Andhra Pradesh
15,West Godavari,Andhra Pradesh
16,Y.S.R. Kadapa,Andhra Pradesh
17,Anjaw,Arunachal Pradesh
18,Changlang,Arunachal Pradesh
19,East Kameng,Arunachal Pradesh
20,East Siang,Arunachal Pradesh
21,Kamle,Arunachal Pradesh
22,Kra Daadi,Arunachal Pradesh
23,Kurung Kumey,Arunachal Pradesh
24,Lepa Rada,Arunachal Pradesh
25,Lohit,Arunachal Pradesh
26,Longding,Arunachal Pradesh
27,Lower Dibang Valley,Arunachal Pradesh
28,Lower Siang,Arunachal Pradesh
29,Lower Subansiri,Arunachal Pradesh
30,Namsai,Arunachal Pradesh
31,Pakke Kessang,Arunachal Pradesh
32,Papum Pare,Arunachal Pradesh
33,Shi Yomi,Arunachal Pradesh
34,Siang,Arunachal Pradesh
35,Tawang,Arunachal Pradesh
36,Tirap,Arunachal Pradesh
37,Upper Dibang Valley,Arunachal Pradesh
38,Upper Siang,Arunachal Pradesh
39,Upper Subansiri,Arunachal Pradesh
40,West Kameng,Arunachal Pradesh
41,West Siang,Arunachal Pradesh
42,Baksa,Assam
43,Barpeta,Assam
44,Biswanath,Assam
45,Bongaigaon,Assam
46,Cachar,Assam
47,Charaideo,Assam
48,Chirang,Assam
49,Darrang,Assam
50,Dhemaji,Assam
51,Dhubri,Assam
52,Dibrugarh,Assam
53,Dima Hasao,Assam
54,Goalpara,Assam
55,Golaghat,Assam
56,Hailakandi,Assam
57,Hojai,Assam
58,Jorhat,Assam
59,Kamrup,Assam
60,Kamrup Metropolitan,Assam
61,Karbi Anglong,Assam
62,Karimganj,Assam
63,Kokrajhar,Assam
64,Lakhimpur,Assam
65,Majuli,Assam
66,Morigaon,Assam
67,Nagaon,Assam
68,Nalbari,Assam
69,Sivasagar,Assam
70,Sonitpur,Assam
71,South Salmara Mankachar,Assam
72,Tinsukia,Assam
73,Udalguri,Assam
74,West Karbi Anglong,Assam
75,Araria,Bihar
76,Arwal,Bihar
77,Aurangabad,Bihar
78,Banka,Bihar
79,Begusarai,Bihar
80,Bhagalpur,Bihar
81,Bhojpur,Bihar
82,Buxar,Bihar
83,Darbhanga,Bihar
84,Gaya,Bihar
85,Gopalganj,Bihar
86,Jamui,Bihar
87,Jehanabad,Bihar
88,Kaimur,Bihar
89,Katihar,Bihar
90,Khagaria,Bihar
91,Kishanganj,Bihar
92,Lakhisarai,Bihar
93,Madhepura,Bihar
94,Madhubani,Bihar
95,Munger,Bihar
96,Muzaffarpur,Bihar
97,Nalanda,Bihar
98,Nawada,Bihar
99,West Champaran,Bihar
100,Patna,Bihar
101,East Champaran,Bihar
102,Purnia,Bihar
103,Rohtas,Bihar
104,Saharsa,Bihar
105,Samastipur,Bihar
106,Saran,Bihar
107,Sheikhpura,Bihar
108,Sheohar,Bihar
109,Sitamarhi,Bihar
110,Siwan,Bihar
111,Supaul,Bihar
112,Vaishali,Bihar
113,Chandigarh,Chandigarh
114,Balod,Chhattisgarh
115,Baloda Bazar,Chhattisgarh
116,Balrampur,Chhattisgarh
117,Bametara,Chhattisgarh
118,Bastar,Chhattisgarh
119,Bijapur,Chhattisgarh
120,Bilaspur,Chhattisgarh
121,Dakshin Bastar Dantewada,Chhattisgarh
122,Dhamtari,Chhattisgarh
123,Durg,Chhattisgarh
124,Gariaband,Chhattisgarh
125,Janjgir Champa,Chhattisgarh
126,Jashpur,Chhattisgarh
127,Kabeerdham,Chhattisgarh
128,Kondagaon,Chhattisgarh
129,Korba,Chhattisgarh
130,Koriya,Chhattisgarh
131,Mahasamund,Chhattisgarh
132,Mungeli,Chhattisgarh
133,Narayanpur,Chhattisgarh
134,Raigarh,Chhattisgarh
135,Raipur,Chhattisgarh
136,Rajnandgaon,Chhattisgarh
137,Sukma,Chhattisgarh
138,Surajpur,Chhattisgarh
139,Surguja,Chhattisgarh
140,Uttar Bastar Kanker,Chhattisgarh
766,Gaurela Pendra Marwahi,Chhattisgarh
141,Dadra and Nagar Haveli,Dadra and Nagar Haveli
142,Daman,Daman And Diu
143,Diu,Daman And Diu
144,Central Delhi,Delhi
145,East Delhi,Delhi
146,New Delhi,Delhi
147,North Delhi,Delhi
148,North East Delhi,Delhi
149,North West Delhi,Delhi
150,Shahdara,Delhi
151,South Delhi,Delhi
152,South East Delhi,Delhi
153,South West Delhi,Delhi
154,West Delhi,Delhi
155,North Goa,Goa
156,South Goa,Goa
157,Ahmedabad,Gujarat
158,Amreli,Gujarat
159,Anand,Gujarat
160,Aravalli,Gujarat
161,Banaskantha,Gujarat
162,Bharuch,Gujarat
163,Bhavnagar,Gujarat
164,Botad,Gujarat
165,Chhota Udaipur,Gujarat
166,Devbhumi Dwarka,Gujarat
167,Dahod,Gujarat
168,Gandhinagar,Gujarat
169,Gir Somnath,Gujarat
170,Jamnagar,Gujarat
171,Junagadh,Gujarat
172,Kutch,Gujarat
173,Kheda,Gujarat
174,Mehsana,Gujarat
175,Mahisagar,Gujarat
176,Morbi,Gujarat
177,Narmada,Gujarat
178,Navsari,Gujarat
179,Panchmahal,Gujarat
180,Patan,Gujarat
181,Porbandar,Gujarat
182,Rajkot,Gujarat
183,Sabarkantha,Gujarat
184,Surat,Gujarat
185,Surendranagar,Gujarat
