SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,22,10,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,53,35,14,4
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,73,60,13,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,39,27,12,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,214,177,29,8
8,AP,Andhra Pradesh,AP_Krishna,Krishna,177,140,29,8
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,279,239,31,9
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,56,33,23,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,72,47,23,2
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,3,3,0,0
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,22,3,19,0
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,51,41,10,0
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,58,30,28,
0,AP,Andhra Pradesh,AP_Other State,Other State,,,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,
26,AR,Arunachal Pradesh,AR_Longding,Longding,,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,,0,,
